Date,Area,UGW-5G-Throughput-Mbps,Volume-Traffic-5G-MB
28/04/2021 00:00,Networkwide,5247,2360982
28/04/2021 01:00,Networkwide,418,1881204
28/04/2021 02:00,Networkwide,3293,1481890
28/04/2021 03:00,Networkwide,2455,1104906
28/04/2021 04:00,Networkwide,2088,939659
28/04/2021 05:00,Networkwide,2185,983185
28/04/2021 06:00,Networkwide,3261,1467446
28/04/2021 07:00,Networkwide,4448,2001788
28/04/2021 08:00,Networkwide,5271,2371832
28/04/2021 09:00,Networkwide,6255,2814933
28/04/2021 10:00,Networkwide,688,3096152
28/04/2021 11:00,Networkwide,7136,3211032
28/04/2021 12:00,Networkwide,7223,3250224
28/04/2021 13:00,Networkwide,7413,3335631
28/04/2021 14:00,Networkwide,7488,3369624
28/04/2021 15:00,Networkwide,7397,3328854
28/04/2021 16:00,Networkwide,769,3460629
28/04/2021 17:00,Networkwide,7784,3502600
28/04/2021 18:00,Networkwide,7368,3315638
28/04/2021 19:00,Networkwide,7167,3225026
28/04/2021 20:00,Networkwide,7153,3218635
28/04/2021 21:00,Networkwide,7384,3322967
28/04/2021 22:00,Networkwide,7124,3205891
28/04/2021 23:00,Networkwide,6312,2840573
29/04/2021 00:00,Networkwide,5452,2453299
29/04/2021 01:00,Networkwide,4443,1999462
29/04/2021 02:00,Networkwide,3373,1517884
29/04/2021 03:00,Networkwide,2519,1133335
29/04/2021 04:00,Networkwide,2076,934357
29/04/2021 05:00,Networkwide,2197,988617
29/04/2021 06:00,Networkwide,3097,1393811
29/04/2021 07:00,Networkwide,4043,1819186
29/04/2021 08:00,Networkwide,5137,2311578
29/04/2021 09:00,Networkwide,6107,2748351
29/04/2021 10:00,Networkwide,6765,3044214
29/04/2021 11:00,Networkwide,6908,3108652
29/04/2021 12:00,Networkwide,6916,3112245
29/04/2021 13:00,Networkwide,7007,3153329
29/04/2021 14:00,Networkwide,7003,3151238
29/04/2021 15:00,Networkwide,7378,3320100
29/04/2021 16:00,Networkwide,7227,3252015
29/04/2021 17:00,Networkwide,7565,3404086
29/04/2021 18:00,Networkwide,7514,3381284
29/04/2021 19:00,Networkwide,6831,3074017
29/04/2021 20:00,Networkwide,7075,3183565
29/04/2021 21:00,Networkwide,7296,3283050
29/04/2021 22:00,Networkwide,6976,3139012
29/04/2021 23:00,Networkwide,6229,2802833
30/04/2021 00:00,Networkwide,5179,2330717
30/04/2021 01:00,Networkwide,409,1840385
30/04/2021 02:00,Networkwide,3094,1392226
30/04/2021 03:00,Networkwide,2448,1101495
30/04/2021 04:00,Networkwide,2051,922864
30/04/2021 05:00,Networkwide,2135,960972
30/04/2021 06:00,Networkwide,3074,1383355
30/04/2021 07:00,Networkwide,424,1908026
30/04/2021 08:00,Networkwide,5336,2401153
30/04/2021 09:00,Networkwide,6012,2705369
30/04/2021 10:00,Networkwide,6857,3085514
30/04/2021 11:00,Networkwide,7312,3290345
30/04/2021 12:00,Networkwide,7627,3432188
30/04/2021 13:00,Networkwide,7587,3413942
30/04/2021 14:00,Networkwide,7574,3408429
30/04/2021 15:00,Networkwide,7673,3452808
30/04/2021 16:00,Networkwide,765,3442347
30/04/2021 17:00,Networkwide,7666,3449773
30/04/2021 18:00,Networkwide,784,3528081
30/04/2021 19:00,Networkwide,7278,3275265
30/04/2021 20:00,Networkwide,7152,3218283
30/04/2021 21:00,Networkwide,7313,3290657
30/04/2021 22:00,Networkwide,7195,3237841
30/04/2021 23:00,Networkwide,6449,2902148
01/05/2021 00:00,Networkwide,5507,2478278
01/05/2021 01:00,Networkwide,4396,1978358
01/05/2021 02:00,Networkwide,3412,1535544
01/05/2021 03:00,Networkwide,2573,1157740
01/05/2021 04:00,Networkwide,2131,958894
01/05/2021 05:00,Networkwide,2106,947691
01/05/2021 06:00,Networkwide,2781,1251261
01/05/2021 07:00,Networkwide,3715,1671966
01/05/2021 08:00,Networkwide,4632,2084604
01/05/2021 09:00,Networkwide,5755,2589900
01/05/2021 10:00,Networkwide,6515,2931586
01/05/2021 11:00,Networkwide,6902,3105833
01/05/2021 12:00,Networkwide,7017,3157861
01/05/2021 13:00,Networkwide,7113,3200795
01/05/2021 14:00,Networkwide,7411,3334925
01/05/2021 15:00,Networkwide,7838,3527187
01/05/2021 16:00,Networkwide,7646,3440506
01/05/2021 17:00,Networkwide,7637,3436641
01/05/2021 18:00,Networkwide,7411,3334800
01/05/2021 19:00,Networkwide,7463,3358305
01/05/2021 20:00,Networkwide,7458,3356186
01/05/2021 21:00,Networkwide,7643,3439177
01/05/2021 22:00,Networkwide,7387,3324362
01/05/2021 23:00,Networkwide,6774,3048248
02/05/2021 00:00,Networkwide,5585,2513401
02/05/2021 01:00,Networkwide,4452,2003320
02/05/2021 02:00,Networkwide,3439,1547762
02/05/2021 03:00,Networkwide,2719,1223705
02/05/2021 04:00,Networkwide,2038,917134
02/05/2021 05:00,Networkwide,2008,903662
02/05/2021 06:00,Networkwide,2638,1187286
02/05/2021 07:00,Networkwide,3595,1617851
02/05/2021 08:00,Networkwide,4479,2015761
02/05/2021 09:00,Networkwide,5386,2423593
02/05/2021 10:00,Networkwide,6107,2748212
02/05/2021 11:00,Networkwide,6626,2981869
02/05/2021 12:00,Networkwide,6677,3004831
02/05/2021 13:00,Networkwide,691,3109461
02/05/2021 14:00,Networkwide,7156,3220338
02/05/2021 15:00,Networkwide,7674,3453464
02/05/2021 16:00,Networkwide,7561,3402473
02/05/2021 17:00,Networkwide,7631,3434031
02/05/2021 18:00,Networkwide,7471,3361880
02/05/2021 19:00,Networkwide,727,3271547
02/05/2021 20:00,Networkwide,717,3226653
02/05/2021 21:00,Networkwide,7131,3209014
02/05/2021 22:00,Networkwide,7075,3183588
02/05/2021 23:00,Networkwide,6364,2863598
03/05/2021 00:00,Networkwide,5262,2367840
03/05/2021 01:00,Networkwide,4131,1858749
03/05/2021 02:00,Networkwide,3229,1453064
03/05/2021 03:00,Networkwide,2458,1106292
03/05/2021 04:00,Networkwide,194,873094
03/05/2021 05:00,Networkwide,2051,923112
03/05/2021 06:00,Networkwide,3078,1385016
03/05/2021 07:00,Networkwide,4132,1859277
03/05/2021 08:00,Networkwide,5189,2335127
03/05/2021 09:00,Networkwide,5955,2679838
03/05/2021 10:00,Networkwide,659,2965460
03/05/2021 11:00,Networkwide,7157,3220466
03/05/2021 12:00,Networkwide,7359,3311521
03/05/2021 13:00,Networkwide,7012,3155558
03/05/2021 14:00,Networkwide,7073,3182848
03/05/2021 15:00,Networkwide,7185,3233199
03/05/2021 16:00,Networkwide,7263,3268478
03/05/2021 17:00,Networkwide,7347,3306058
03/05/2021 18:00,Networkwide,7021,3159586
03/05/2021 19:00,Networkwide,6699,3014641
03/05/2021 20:00,Networkwide,684,3077956
03/05/2021 21:00,Networkwide,6991,3145920
03/05/2021 22:00,Networkwide,6633,2985003
03/05/2021 23:00,Networkwide,6084,2738011
04/05/2021 00:00,Networkwide,5209,2344098
04/05/2021 01:00,Networkwide,41,1845045
04/05/2021 02:00,Networkwide,3536,1591049
04/05/2021 03:00,Networkwide,2677,1204477
04/05/2021 04:00,Networkwide,2225,1001214
04/05/2021 05:00,Networkwide,225,1012454
04/05/2021 06:00,Networkwide,3197,1438551
04/05/2021 07:00,Networkwide,4212,1895604
04/05/2021 08:00,Networkwide,5101,2295236
04/05/2021 09:00,Networkwide,5858,2636156
04/05/2021 10:00,Networkwide,6977,3139506
04/05/2021 11:00,Networkwide,734,3303167
